ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
255,Point,11730,11729,OKEK,29.725,-95.803,15.576,1
256,Point,4521,4520,FLAP,29.726,-84.983,-6.552,1
257,Point,17117,17116,UHCR,29.728,-95.757,7.907,1
258,Point,17010,17009,TXSP,29.731,-93.897,-12.187,1
259,Point,8697,8696,LCLU,29.732,-97.661,120.045,1
260,Point,5956,5955,HPEK,29.755,-95.716,13.033,1
261,Point,13116,13115,PED1,29.756,-81.334,-2.467,1
262,Point,16723,16722,TXB6,29.757,-94.937,-14.079,1
263,Point,15131,15130,SISD,29.762,-96.174,41.279,1
264,Point,17118,17117,UHDT,29.766,-95.359,24.332,1
265,Point,2091,2090,CALC,29.768,-93.343,-15.18,1
266,Point,9583,9582,MDWD,29.771,-95.595,2.145,1
267,Point,16702,16701,TXAC,29.778,-94.671,-18.241,1
268,Point,16862,16861,TXHU,29.779,-95.433,11.959,1
269,Point,17983,17982,WCHT,29.783,-95.581,7.589,1
270,Point,2862,2861,COH4,29.783,-95.215,-18.624,1
271,Point,16732,16731,TXBH,29.786,-95.946,25.759,1
272,Point,17283,17282,UTEX,29.786,-95.568,6.299,1
273,Point,5725,5724,HCC2,29.788,-95.562,6.34,1
274,Point,5724,5723,HCC1,29.788,-95.561,3.804,1
275,Point,17997,17996,WDVW,29.79,-95.533,0.746,1
276,Point,316,315,ADKS,29.791,-95.586,2.831,1
277,Point,11143,11142,NETP,29.791,-95.334,-10.55,1
278,Point,8527,8526,LAFR,29.792,-91.501,-10.705,1
279,Point,3153,3152,CSTA,29.796,-95.512,1.929,1
280,Point,3154,3153,CSTE,29.796,-95.511,-2.183,1
281,Point,2124,2123,CAMR,29.798,-93.325,-11.645,1
282,Point,5992,5991,HSMN,29.8,-95.47,3.741,1
283,Point,15399,15398,SPBH,29.802,-95.515,5.713,1
284,Point,10429,10428,MRHK,29.804,-95.745,19.912,1
285,Point,8505,8504,LAC1,29.805,-93.182,-17.763,1
286,Point,4709,4708,FSHS,29.805,-91.502,-15.859,1
287,Point,16591,16590,TSFT,29.806,-95.48,-1.626,1
288,Point,17043,17042,TXWI,29.806,-94.371,-18.432,1
289,Point,8688,8687,LCI1,29.807,-95.442,20.282,1
290,Point,13979,13978,RDCT,29.81,-95.495,6.023,1
291,Point,4565,4564,FLJO,29.813,-85.29,-20.941,1
292,Point,16845,16844,TXH5,29.815,-95.466,-2.161,1
293,Point,16882,16881,TXKY,29.822,-95.829,24.389,1
