date, Water Level
2017-07-10,0.56025
2017-07-11,0.62469167
2017-07-12,0.7649958
2017-07-13,0.72489166
2017-07-14,0.6723875
2017-07-15,0.5615625
2017-07-16,0.729475
2017-07-17,0.87310416
2017-07-18,0.8342875
2017-07-19,0.7435875
2017-07-20,0.61172086
2017-07-21,0.5317042
2017-07-22,0.58080834
2017-07-23,0.6506125
2017-07-24,0.59859586
2017-07-25,0.642325
2017-07-26,0.5915167
2017-07-27,0.563675
2017-07-28,0.44967082
2017-07-29,0.4871
2017-07-30,0.37061667
2017-07-31,0.5309375
2017-08-01,0.965375
2017-08-02,1.1774083
2017-08-03,1.0753042
2017-08-04,0.79496664
2017-08-05,0.8405625
2017-08-06,1.0272459
2017-08-07,1.0216833
2017-08-08,0.7569917
2017-08-09,0.82099164
2017-08-10,0.9493167
2017-08-11,0.824225
2017-08-12,0.76166666
2017-08-13,0.7930083
2017-08-14,0.7865125
2017-08-15,0.80954164
2017-08-16,0.8647125
2017-08-17,0.7640708
2017-08-18,0.5755625
2017-08-19,0.52327085
2017-08-20,0.49719167
2017-08-21,0.6991208
2017-08-22,0.79426247
2017-08-23,0.74787915
2017-08-24,0.88006246
2017-08-25,1.8679
2017-08-26,6.0245543
2017-08-27,3.115425
2017-08-28,1.7275
2017-08-29,0.66110414
2017-08-30,1.4195292
2017-08-31,1.1934875
2017-09-01,1.0396625
2017-09-02,1.181425
2017-09-03,1.1881791
2017-09-04,1.2904667
2017-09-05,1.2597333
2017-09-06,1.1571791
2017-09-07,1.35445
2017-09-08,1.8122125
2017-09-09,1.8566291
2017-09-10,1.8177124
2017-09-11,1.7855333
2017-09-12,1.5883
2017-09-13,1.1739209
2017-09-14,1.0959125
2017-09-15,1.3925709
2017-09-16,1.5573666
2017-09-17,1.2969333
2017-09-18,1.3607042
2017-09-19,1.3763791
2017-09-20,1.5034626
2017-09-21,1.4553833
2017-09-22,1.4955916
2017-09-23,1.5972792
2017-09-24,1.8952999
2017-09-25,1.9277041
2017-09-26,2.0184126
2017-09-27,1.8173791
2017-09-28,1.4490625
2017-09-29,1.266825
2017-09-30,1.3109292
2017-10-01,1.2783709
2017-10-02,1.647925
2017-10-03,2.3440666
2017-10-04,2.743496
2017-10-05,2.7884083
2017-10-06,2.4388916
2017-10-07,2.3579957
2017-10-08,2.2645166
2017-10-09,2.3014042
2017-10-10,1.9046917
2017-10-11,1.3119625
2017-10-12,1.6166166
2017-10-13,1.6954374
2017-10-14,1.8162999
2017-10-15,1.73565
2017-10-16,1.0861459
2017-10-17,1.4757833
2017-10-18,1.6582084
2017-10-19,1.6853875
2017-10-20,1.855125
2017-10-21,2.101525
2017-10-22,1.8682041
2017-10-23,1.3456458
2017-10-24,1.1636
2017-10-25,0.7132875
2017-10-26,0.8407792
2017-10-27,0.7981708
2017-10-28,-0.261675
2017-10-29,0.1651
2017-10-30,0.5120792
2017-10-31,0.6932625
2017-11-01,0.65227914
2017-11-02,0.74320835
2017-11-03,0.7149583
2017-11-04,0.7988833
2017-11-05,1.0402875
2017-11-06,1.0514458
2017-11-07,0.85364586
2017-11-08,0.5775292
2017-11-09,0.30546665
2017-11-10,0.65659165
2017-11-11,1.1284083
2017-11-12,1.2367834
2017-11-13,1.1688417
2017-11-14,1.4459083
2017-11-15,1.3704458
2017-11-16,1.1389542
2017-11-17,1.0191417
2017-11-18,1.0962791
2017-11-19,-0.037554167
2017-11-20,0.8062125
2017-11-21,1.1303917
2017-11-22,1.0384542
2017-11-23,0.65851665
